     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         135.045;           4.494;           4.567;           4.505;           0.013 ( 0.280 %);  13549.317
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          50.132;           3.660;           4.424;           4.011;           0.283 ( 7.057 %);  15215.908
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         134.563;           4.493;           4.541;           4.505;           0.009 ( 0.201 %);  13548.314
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         975.522;           3.659;           4.235;           3.876;           0.269 ( 6.936 %);  15746.944
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         202.025;           4.493;          11.880;           4.728;           1.284 (27.156 %);  12909.132
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         161.166;           4.118;           4.760;           4.380;           0.306 ( 6.988 %);  13935.835
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          78.482;           5.056;           5.123;           5.070;           0.012 ( 0.237 %);  12039.644
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          55.325;           3.662;          11.525;           4.283;           1.323 (30.897 %);  14249.050
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         527.705;           4.493;           4.547;           4.504;           0.010 ( 0.213 %);  13551.869
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         372.151;           3.661;           4.422;           3.961;           0.290 ( 7.317 %);  15408.556
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          61.565;           4.493;           4.541;           4.505;           0.009 ( 0.202 %);  13549.590
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          42.077;           4.119;           4.749;           4.151;           0.109 ( 2.637 %);  14704.475
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         119.727;           5.055;           5.118;           5.068;           0.011 ( 0.223 %);  12044.035
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          34.318;           3.661;           4.233;           3.928;           0.278 ( 7.074 %);  15537.882
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          91.936;           4.494;           4.533;           4.505;           0.008 ( 0.188 %);  13548.223
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         116.164;           3.665;           4.232;           4.164;           0.168 ( 4.025 %);  14659.312
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          93.690;           4.494;           4.541;           4.505;           0.010 ( 0.213 %);  13547.403
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;       18093.091;           3.664;           4.339;           4.210;           0.100 ( 2.381 %);  14497.349
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          54.298;           4.492;           4.535;           4.505;           0.009 ( 0.190 %);  13548.223
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         784.608;           3.659;           3.870;           3.674;           0.036 ( 0.969 %);  16612.041
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         171.450;           4.497;           4.548;           4.507;           0.009 ( 0.208 %);  13542.393
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         244.672;           3.663;           4.232;           4.129;           0.203 ( 4.923 %);  14781.416
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          85.550;           4.493;           4.533;           4.504;           0.008 ( 0.176 %);  13550.775
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         342.314;           3.659;           4.434;           3.775;           0.235 ( 6.223 %);  16167.215
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         449.894;           4.494;           4.544;           4.504;           0.009 ( 0.204 %);  13550.411
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          81.437;           3.568;           3.763;           3.582;           0.033 ( 0.918 %);  17038.254
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         375.233;           4.371;           4.415;           4.383;           0.009 ( 0.195 %);  13925.140
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         151.881;           4.741;           4.955;           4.758;           0.036 ( 0.759 %);  12826.676
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         613.989;           5.056;           5.127;           5.068;           0.012 ( 0.244 %);  12043.171
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          43.475;           4.105;           4.280;           4.120;           0.029 ( 0.713 %);  14815.775
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         192.162;           4.372;           4.415;           4.383;           0.008 ( 0.185 %);  13926.392
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          98.897;           3.575;           4.124;           4.089;           0.108 ( 2.629 %);  14925.565
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         349.153;           4.372;           4.416;           4.384;           0.009 ( 0.198 %);  13923.408
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         326.578;           4.100;           4.293;           4.115;           0.032 ( 0.787 %);  14830.939
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          89.855;           4.371;           4.428;           4.383;           0.010 ( 0.230 %);  13926.874
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         340.434;           3.566;           4.343;           3.599;           0.134 ( 3.718 %);  16961.206
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         241.755;           4.373;           4.423;           4.383;           0.009 ( 0.214 %);  13925.429
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         127.780;           3.669;           4.233;           4.174;           0.143 ( 3.416 %);  14621.428
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          59.222;           4.493;           4.654;           4.510;           0.029 ( 0.639 %);  13534.022
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          66.625;           3.563;           4.325;           4.099;           0.104 ( 2.526 %);  14888.604
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         141.187;           4.371;           5.636;           4.420;           0.218 ( 4.943 %);  13809.048
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         312.858;           3.660;           4.233;           3.964;           0.276 ( 6.962 %);  15397.954
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          64.438;           4.494;           4.927;           4.518;           0.074 ( 1.643 %);  13509.421
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         296.055;           3.661;           4.231;           3.963;           0.276 ( 6.952 %);  15399.838
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         223.944;           4.494;           4.546;           4.505;           0.010 ( 0.221 %);  13548.861
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        1429.496;           3.664;          11.627;           4.438;           1.295 (29.176 %);  13751.819
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          73.771;           4.493;           4.546;           4.505;           0.011 ( 0.235 %);  13548.406
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         114.749;           3.660;           4.431;           3.894;           0.286 ( 7.343 %);  15672.203
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          82.443;           4.493;           4.556;           4.504;           0.011 ( 0.249 %);  13551.140
