     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         131.716;           3.384;           3.435;           3.395;           0.010 ( 0.288 %);  17976.992
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          94.860;           3.662;           3.954;           3.686;           0.062 ( 1.682 %);  16559.732
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         928.812;           3.384;           3.448;           3.394;           0.011 ( 0.312 %);  17981.004
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         588.990;           3.661;           3.939;           3.684;           0.058 ( 1.585 %);  16565.588
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         110.859;           3.391;           3.444;           3.400;           0.009 ( 0.274 %);  17953.117
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          76.741;           3.661;           3.954;           3.684;           0.062 ( 1.685 %);  16565.588
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1446.652;           3.384;           3.438;           3.393;           0.009 ( 0.272 %);  17989.355
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          63.247;           3.661;          10.968;           3.914;           1.268 (32.406 %);  15592.854
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         415.165;           3.384;           3.440;           3.394;           0.010 ( 0.295 %);  17983.573
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         486.463;           3.661;           3.955;           3.685;           0.059 ( 1.606 %);  16564.362
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         116.439;           3.382;           3.444;           3.394;           0.010 ( 0.309 %);  17985.660
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          36.034;           3.661;           4.233;           3.702;           0.129 ( 3.481 %);  16487.886
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          92.112;           3.381;           3.446;           3.393;           0.011 ( 0.320 %);  17988.712
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          32.066;           3.660;           4.226;           3.693;           0.103 ( 2.785 %);  16526.578
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         437.543;           3.383;           3.426;           3.393;           0.008 ( 0.235 %);  17990.159
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         211.080;           4.119;           4.452;           4.145;           0.066 ( 1.600 %);  14725.976
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          37.735;           3.803;           3.862;           3.817;           0.010 ( 0.257 %);  15991.109
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         246.333;           3.669;           3.883;           3.686;           0.036 ( 0.972 %);  16559.187
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          38.376;           3.376;           3.422;           3.393;           0.008 ( 0.230 %);  17989.676
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         339.047;           3.661;           3.940;           3.686;           0.059 ( 1.606 %);  16557.554
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         167.515;           3.383;           3.434;           3.393;           0.009 ( 0.259 %);  17986.945
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         135.140;           3.662;           3.950;           3.686;           0.062 ( 1.688 %);  16557.145
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         207.019;           3.385;           3.437;           3.394;           0.010 ( 0.282 %);  17982.449
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         137.428;           3.661;           3.948;           3.694;           0.075 ( 2.022 %);  16521.562
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         352.510;           3.384;           3.503;           3.397;           0.021 ( 0.611 %);  17967.050
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        2051.883;           3.562;           4.105;           3.604;           0.128 ( 3.541 %);  16936.675
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          92.290;           3.292;           3.330;           3.301;           0.007 ( 0.208 %);  18489.559
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         202.498;           3.662;           3.951;           3.689;           0.067 ( 1.821 %);  16546.672
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          52.113;           3.387;           3.525;           3.402;           0.024 ( 0.698 %);  17941.602
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          62.553;           3.564;          23.018;           4.625;           4.154 (89.821 %);  13196.358
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          65.998;           3.296;           3.354;           3.305;           0.010 ( 0.309 %);  18468.706
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         497.561;           3.563;           4.161;           3.615;           0.131 ( 3.614 %);  16883.719
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          44.483;           3.292;           3.334;           3.302;           0.008 ( 0.242 %);  18483.960
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         500.585;           3.661;           3.942;           3.685;           0.060 ( 1.626 %);  16564.771
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          88.570;           3.383;           3.439;           3.394;           0.010 ( 0.301 %);  17981.967
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          73.918;           3.662;           3.944;           3.686;           0.061 ( 1.654 %);  16559.595
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          36.793;           3.382;           3.443;           3.394;           0.011 ( 0.331 %);  17983.733
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          99.632;           3.661;           3.946;           3.686;           0.064 ( 1.731 %);  16559.732
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          25.033;           3.383;           3.431;           3.392;           0.008 ( 0.246 %);  17991.605
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          66.824;           3.664;           3.956;           3.687;           0.064 ( 1.723 %);  16552.247
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         448.117;           3.385;           3.444;           3.395;           0.010 ( 0.294 %);  17979.881
