     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          96.317;           3.940;           4.159;           3.955;           0.037 ( 0.937 %);  15433.468
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          77.672;           3.106;           3.387;           3.124;           0.048 ( 1.525 %);  19538.450
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         117.390;           3.941;           4.167;           3.956;           0.038 ( 0.965 %);  15427.321
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          81.361;           3.108;           3.384;           3.124;           0.047 ( 1.515 %);  19539.397
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         237.828;           3.940;           4.288;           3.959;           0.059 ( 1.501 %);  15417.992
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         529.026;           3.107;           3.396;           3.127;           0.053 ( 1.689 %);  19519.325
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          97.594;           3.939;           4.157;           3.955;           0.037 ( 0.928 %);  15433.941
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         743.226;           3.107;           3.383;           3.124;           0.048 ( 1.526 %);  19535.228
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         138.631;           3.940;           4.177;           3.955;           0.040 ( 1.019 %);  15431.339
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          73.420;           3.106;           3.394;           3.123;           0.049 ( 1.577 %);  19544.706
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          61.735;           3.938;           4.160;           3.955;           0.037 ( 0.943 %);  15434.059
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         155.197;           3.105;           3.392;           3.123;           0.049 ( 1.565 %);  19542.051
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          61.577;           3.940;           4.162;           3.956;           0.038 ( 0.949 %);  15430.394
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         220.307;           3.106;           3.393;           3.124;           0.049 ( 1.581 %);  19537.123
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         118.185;           3.939;           4.166;           3.955;           0.038 ( 0.972 %);  15433.350
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         135.687;           3.106;           3.389;           3.127;           0.054 ( 1.739 %);  19521.596
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
