     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          96.319;          15.722;          16.056;          15.772;           0.056 ( 0.353 %);   3869.843
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          23.145;           7.466;           7.624;           7.496;           0.026 ( 0.346 %);   8142.363
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          14.611;          15.708;          16.164;          15.764;           0.074 ( 0.472 %);   3871.896
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          18.810;           7.461;           7.698;           7.488;           0.040 ( 0.528 %);   8151.590
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         158.733;          15.746;          16.072;          15.813;           0.051 ( 0.325 %);   3859.720
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          14.803;           7.465;           7.646;           7.490;           0.030 ( 0.400 %);   8148.589
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          63.829;          15.703;          16.081;          15.755;           0.062 ( 0.394 %);   3874.070
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          87.967;           7.475;           7.633;           7.498;           0.029 ( 0.383 %);   8139.731
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          44.573;          15.763;          16.116;          15.819;           0.057 ( 0.363 %);   3858.389
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          21.826;           7.467;          12.272;           7.640;           0.833 (10.902 %);   7988.863
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          30.242;          15.710;          25.354;          16.057;           1.670 (10.401 %);   3801.113
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          81.181;           7.464;           7.598;           7.492;           0.024 ( 0.315 %);   8147.007
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          14.198;          15.703;          16.088;          15.759;           0.063 ( 0.398 %);   3873.154
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          89.112;           7.461;           7.630;           7.497;           0.031 ( 0.417 %);   8141.541
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          36.635;          15.689;          25.092;          16.045;           1.626 (10.134 %);   3803.999
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          47.138;           7.469;           7.625;           7.495;           0.029 ( 0.386 %);   8143.285
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          34.638;          15.704;          16.701;          15.794;           0.165 ( 1.043 %);   3864.371
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          92.082;           7.464;           7.681;           7.494;           0.037 ( 0.487 %);   8144.405
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          19.561;          15.297;          15.698;          15.345;           0.071 ( 0.462 %);   3977.480
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          30.809;           7.262;          55.690;          11.321;          10.491 (92.664 %);   5391.264
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         282.739;          15.714;          16.175;          15.767;           0.076 ( 0.482 %);   3871.033
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          15.603;           7.466;           7.596;           7.496;           0.025 ( 0.329 %);   8141.936
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          48.997;          15.773;          16.192;          15.820;           0.071 ( 0.448 %);   3858.057
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          73.371;           7.465;           7.681;           7.494;           0.038 ( 0.505 %);   8144.734
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          40.148;          20.196;          20.563;          20.273;           0.067 ( 0.328 %);   3010.635
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          39.689;           9.601;           9.810;           9.633;           0.036 ( 0.369 %);   6336.348
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          40.678;          15.337;          15.746;          15.401;           0.067 ( 0.435 %);   3963.096
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          28.038;           7.260;          10.886;           7.403;           0.626 ( 8.458 %);   8244.922
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          21.058;          15.278;          92.644;          18.786;          13.967 (74.348 %);   3249.002
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          33.474;           7.256;           7.420;           7.288;           0.027 ( 0.368 %);   8374.851
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          18.185;          15.283;          15.617;          15.336;           0.056 ( 0.363 %);   3979.736
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          22.488;           7.272;           7.446;           7.300;           0.030 ( 0.406 %);   8361.397
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          50.298;          15.717;          16.079;          15.771;           0.061 ( 0.384 %);   3870.036
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          17.623;           7.470;           7.746;           7.507;           0.045 ( 0.603 %);   8130.564
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          19.495;          15.717;          16.004;          15.764;           0.047 ( 0.297 %);   3871.784
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          31.001;           7.467;           7.715;           7.500;           0.042 ( 0.564 %);   8137.561
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          80.233;          15.356;          15.809;          15.402;           0.076 ( 0.491 %);   3962.784
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          30.982;           7.270;           7.392;           7.295;           0.023 ( 0.309 %);   8367.232
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          19.799;          15.279;          15.724;          15.340;           0.073 ( 0.479 %);   3978.894
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          34.113;           7.270;           7.551;           7.300;           0.047 ( 0.643 %);   8361.119
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          36.587;          15.285;          15.691;          15.344;           0.067 ( 0.438 %);   3977.842
