     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          17.961;           2.481;           2.577;           2.491;           0.016 ( 0.641 %);  24501.675
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         806.642;           1.959;           1.998;           1.967;           0.007 ( 0.348 %);  31029.088
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.491;           2.477;           2.680;           2.495;           0.034 ( 1.349 %);  24463.286
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          38.454;           1.957;           2.006;           1.968;           0.008 ( 0.409 %);  31006.637
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          61.583;           2.486;           2.678;           2.502;           0.032 ( 1.277 %);  24392.479
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          43.595;           1.957;           2.013;           1.968;           0.009 ( 0.482 %);  31009.502
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          83.937;           2.479;           2.574;           2.492;           0.015 ( 0.611 %);  24488.865
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          38.130;           1.957;           2.001;           1.968;           0.007 ( 0.377 %);  31015.709
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          29.861;           2.869;           3.048;           2.884;           0.030 ( 1.046 %);  21165.815
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          32.326;           2.264;           2.343;           2.278;           0.013 ( 0.563 %);  26788.319
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          16.163;           2.548;           2.730;           2.564;           0.030 ( 1.175 %);  23802.413
